unicode,unicode padded,unicodevalue
0x192,u+0192,0192
0x193,u+0193,0193
0x194,u+0194,0194
0x195,u+0195,0195
0x196,u+0196,0196
0x197,u+0197,0197
0x198,u+0198,0198
0x199,u+0199,0199
0x19a,u+019a,019a
0x19b,u+019b,019b
0x19c,u+019c,019c
0x19d,u+019d,019d
0x19e,u+019e,019e
0x19f,u+019f,019f
0x1a0,u+01a0,01a0
0x1a1,u+01a1,01a1
0x1a2,u+01a2,01a2
0x1a3,u+01a3,01a3
0x1a4,u+01a4,01a4
0x1a5,u+01a5,01a5
0x1a6,u+01a6,01a6
0x1a7,u+01a7,01a7
0x1a8,u+01a8,01a8
0x1a9,u+01a9,01a9
0x1aa,u+01aa,01aa
0x1ab,u+01ab,01ab
0x1ac,u+01ac,01ac
0x1ad,u+01ad,01ad
0x1ae,u+01ae,01ae
0x1af,u+01af,01af
0x1b0,u+01b0,01b0
0x1b1,u+01b1,01b1
0x1b2,u+01b2,01b2
0x1b3,u+01b3,01b3
0x1b4,u+01b4,01b4
0x1b5,u+01b5,01b5
0x1b6,u+01b6,01b6
0x1b7,u+01b7,01b7
0x1b8,u+01b8,01b8
0x1b9,u+01b9,01b9
0x1ba,u+01ba,01ba
0x1bb,u+01bb,01bb
0x1bc,u+01bc,01bc
0x1bd,u+01bd,01bd
0x1be,u+01be,01be
0x1bf,u+01bf,01bf
0x1c0,u+01c0,01c0
0x1c1,u+01c1,01c1
0x1c2,u+01c2,01c2
0x1c3,u+01c3,01c3
0x1c4,u+01c4,01c4
0x1c5,u+01c5,01c5
0x1c6,u+01c6,01c6
0x1c7,u+01c7,01c7
0x1c8,u+01c8,01c8
0x1c9,u+01c9,01c9
0x1ca,u+01ca,01ca
0x1cb,u+01cb,01cb
0x1cc,u+01cc,01cc
0x1cd,u+01cd,01cd
0x1ce,u+01ce,01ce
0x1cf,u+01cf,01cf
0x1d0,u+01d0,01d0
0x1d1,u+01d1,01d1
0x1d2,u+01d2,01d2
0x1d3,u+01d3,01d3
0x1d4,u+01d4,01d4
0x1d5,u+01d5,01d5
0x1d6,u+01d6,01d6
0x1d7,u+01d7,01d7
0x1d8,u+01d8,01d8
0x1d9,u+01d9,01d9
0x1da,u+01da,01da
0x1db,u+01db,01db
0x1dc,u+01dc,01dc
0x1dd,u+01dd,01dd
0x1de,u+01de,01de
0x1df,u+01df,01df
0x1e0,u+01e0,01e0
0x1e1,u+01e1,01e1
0x1e2,u+01e2,01e2
0x1e3,u+01e3,01e3
0x1e4,u+01e4,01e4
0x1e5,u+01e5,01e5
0x1e6,u+01e6,01e6
0x1e7,u+01e7,01e7
0x1e8,u+01e8,01e8
0x1e9,u+01e9,01e9
0x1ea,u+01ea,01ea
0x1eb,u+01eb,01eb
0x1ec,u+01ec,01ec
0x1ed,u+01ed,01ed
0x1ee,u+01ee,01ee
0x1ef,u+01ef,01ef
0x1f0,u+01f0,01f0
0x1f1,u+01f1,01f1
0x1f2,u+01f2,01f2
0x1f3,u+01f3,01f3
0x1f4,u+01f4,01f4
0x1f5,u+01f5,01f5
0x1f6,u+01f6,01f6
0x1f7,u+01f7,01f7
0x1f8,u+01f8,01f8
0x1f9,u+01f9,01f9
0x1fa,u+01fa,01fa
0x1fb,u+01fb,01fb
0x1fc,u+01fc,01fc
0x1fd,u+01fd,01fd
0x1fe,u+01fe,01fe
0x1ff,u+01ff,01ff
0x200,u+0200,0200
0x201,u+0201,0201
0x202,u+0202,0202
0x203,u+0203,0203
0x204,u+0204,0204
0x205,u+0205,0205
0x206,u+0206,0206
0x207,u+0207,0207
0x208,u+0208,0208
0x209,u+0209,0209
0x20a,u+020a,020a
0x20b,u+020b,020b
0x20c,u+020c,020c
0x20d,u+020d,020d
0x20e,u+020e,020e
0x20f,u+020f,020f
0x210,u+0210,0210
0x211,u+0211,0211
0x212,u+0212,0212
0x213,u+0213,0213
0x214,u+0214,0214
0x215,u+0215,0215
0x216,u+0216,0216
0x217,u+0217,0217
0x218,u+0218,0218
0x219,u+0219,0219
0x21a,u+021a,021a
0x21b,u+021b,021b
0x21c,u+021c,021c
0x21d,u+021d,021d
0x21e,u+021e,021e
0x21f,u+021f,021f
0x220,u+0220,0220
0x221,u+0221,0221
0x222,u+0222,0222
0x223,u+0223,0223
0x224,u+0224,0224
0x225,u+0225,0225
0x226,u+0226,0226
0x227,u+0227,0227
0x228,u+0228,0228
0x229,u+0229,0229
0x22a,u+022a,022a
0x22b,u+022b,022b
0x22c,u+022c,022c
0x22d,u+022d,022d
0x22e,u+022e,022e
0x22f,u+022f,022f
0x230,u+0230,0230
0x231,u+0231,0231
0x232,u+0232,0232
0x233,u+0233,0233
0x234,u+0234,0234
0x235,u+0235,0235
0x236,u+0236,0236
0x237,u+0237,0237
0x238,u+0238,0238
0x239,u+0239,0239
0x23a,u+023a,023a
0x23b,u+023b,023b
0x23c,u+023c,023c
0x23d,u+023d,023d
0x23e,u+023e,023e
0x23f,u+023f,023f
0x240,u+0240,0240
0x241,u+0241,0241
0x242,u+0242,0242
0x243,u+0243,0243
0x244,u+0244,0244
0x245,u+0245,0245
0x246,u+0246,0246
0x247,u+0247,0247
0x248,u+0248,0248
0x249,u+0249,0249
